vin,model,mfg_year,fuel_type
B614262R,Freightliner M2,2024,Diesel
Y085206P,Kenworth T680,2015,Diesel
M346118F,Hino 268,2023,CNG
L873728P,Volvo VNL,2024,LNG
C659338S,Western Star 49X,2015,LNG
D191716P,Kenworth T680,2022,Diesel
S330854F,International LT,2017,Diesel
Q843660L,Peterbilt 579,2018,CNG
J093137I,Mack Anthem,2018,Diesel
A021093F,Navistar 4300,2018,Diesel
A677773V,Western Star 49X,2019,LNG
V764554N,Freightliner M2,2019,Diesel
V034819Z,Volvo VNL,2017,LNG
I435110Y,Freightliner M2,2024,Diesel
P939553D,Volvo VNL,2016,LNG
P892333F,Freightliner Cascadia,2024,Electric
V351485V,Volvo VNL,2016,LNG
B070264B,Kenworth T680,2019,Diesel
T260674G,Mack Anthem,2017,Diesel
B514487K,Volvo VNL,2016,LNG
Q164834I,Freightliner Cascadia,2020,Electric
L797302S,Peterbilt 579,2021,CNG
W069572K,Volvo VNL,2022,LNG
N023589D,Freightliner M2,2021,Diesel
I712582Q,Volvo VNL,2022,LNG
T889199M,Volvo VNL,2018,LNG
E516599V,Western Star 49X,2021,LNG
B945644Q,International LT,2022,Diesel
Q523900E,Kenworth T680,2017,Diesel
F524286I,Mack Anthem,2015,Diesel
G554701L,Kenworth T680,2024,Diesel
R779501T,Hino 268,2015,CNG
F670936J,Volvo VNL,2020,LNG
Z502800S,International LT,2022,Diesel
P417707R,Hino 268,2024,CNG
O603161Q,Navistar 4300,2015,Diesel
Z407992R,Kenworth T680,2023,Diesel
L164575F,Mack Anthem,2016,Diesel
W542832J,Peterbilt 579,2024,CNG
R678515D,Freightliner M2,2023,Diesel
W668815V,Freightliner M2,2023,Diesel
F715566A,Navistar 4300,2017,Diesel
P689409A,Peterbilt 579,2020,CNG
K364605X,Volvo VNL,2018,LNG
N516113L,Freightliner M2,2020,Diesel
X563224E,Kenworth T680,2018,Diesel
E825696L,Volvo VNL,2017,LNG
V212697T,Mack Anthem,2019,Diesel
H869784E,Freightliner Cascadia,2018,Electric
K989631B,Volvo VNL,2020,LNG
Q305270T,Navistar 4300,2019,Diesel
K369225U,Freightliner Cascadia,2022,Electric
H164230I,Western Star 49X,2023,LNG
F746901Y,Western Star 49X,2018,LNG
B319198P,Mack Anthem,2017,Diesel
Z708553Y,Peterbilt 579,2019,CNG
A062230M,Western Star 49X,2016,LNG
D567357X,Hino 268,2024,CNG
T694298Z,Mack Anthem,2017,Diesel
V104003K,Peterbilt 579,2022,CNG
X730324H,Western Star 49X,2022,LNG
I274635R,Western Star 49X,2024,LNG
G356118S,Mack Anthem,2020,Diesel
R203806T,Hino 268,2016,CNG
J958621V,Hino 268,2021,CNG
W311128F,Western Star 49X,2018,LNG
B779036Y,Hino 268,2020,CNG
L636947G,International LT,2016,Diesel
G132659R,Freightliner Cascadia,2017,Electric
D503379T,Freightliner M2,2023,Diesel
X294037N,Mack Anthem,2024,Diesel
V531324V,Western Star 49X,2019,LNG
L275671O,Hino 268,2023,CNG
G503056D,International LT,2021,Diesel
V807126J,Freightliner M2,2016,Diesel
G494891W,Kenworth T680,2020,Diesel
K298388A,Western Star 49X,2017,LNG
C151497F,International LT,2018,Diesel
U649136F,Volvo VNL,2018,LNG
G657652K,International LT,2020,Diesel
T261954K,Kenworth T680,2020,Diesel
L029484X,Volvo VNL,2015,LNG
Z434577A,International LT,2015,Diesel
V613886O,International LT,2018,Diesel
M500915W,Freightliner Cascadia,2024,Electric
K678323S,International LT,2018,Diesel
L593601X,Navistar 4300,2016,Diesel
Y412706G,Western Star 49X,2019,LNG
F853608I,Hino 268,2018,CNG
O072020O,Navistar 4300,2018,Diesel
A388112W,Volvo VNL,2023,LNG
O996676C,Mack Anthem,2024,Diesel
X203734Q,Volvo VNL,2024,LNG
A836567D,Western Star 49X,2021,LNG
F190565Z,International LT,2020,Diesel
C439677U,Peterbilt 579,2018,CNG
E467393Z,Freightliner M2,2022,Diesel
B490954J,Freightliner Cascadia,2015,Electric
G873058B,Mack Anthem,2021,Diesel
G810253I,Volvo VNL,2016,LNG
R926625F,Freightliner Cascadia,2017,Electric
D800958T,Hino 268,2020,CNG
M014615Y,Hino 268,2021,CNG
Q700019D,Peterbilt 579,2024,CNG
Q073885Z,Freightliner M2,2019,Diesel
Z734743W,Freightliner M2,2024,Diesel
R939089G,Freightliner M2,2022,Diesel
Y319859F,Mack Anthem,2017,Diesel
A183213W,Western Star 49X,2015,LNG
O428425E,Navistar 4300,2023,Diesel
M119035T,Freightliner M2,2020,Diesel
E094294L,Freightliner M2,2016,Diesel
C597999U,Freightliner Cascadia,2016,Electric
R323887A,Western Star 49X,2019,LNG
U766062H,Mack Anthem,2020,Diesel
P951340N,International LT,2021,Diesel
D997838S,Volvo VNL,2023,LNG
M430818A,International LT,2022,Diesel
T329397A,Hino 268,2015,CNG
A266382E,Western Star 49X,2019,LNG
U154818H,Freightliner Cascadia,2022,Electric
A331178D,Volvo VNL,2020,LNG
E577677L,Hino 268,2016,CNG
O288920D,Freightliner M2,2018,Diesel
C287574W,Freightliner M2,2015,Diesel
A892303A,Kenworth T680,2016,Diesel
M677871P,International LT,2021,Diesel
U249726V,Peterbilt 579,2017,CNG
A713649E,Volvo VNL,2018,LNG
C451453W,International LT,2023,Diesel
I257448J,Freightliner M2,2015,Diesel
T526990H,Mack Anthem,2015,Diesel
V851115B,Volvo VNL,2015,LNG
U733851D,Mack Anthem,2016,Diesel
D646705Q,Mack Anthem,2020,Diesel
G680983V,Hino 268,2021,CNG
U319346S,Mack Anthem,2017,Diesel
D027586P,Kenworth T680,2024,Diesel
X456333I,Freightliner Cascadia,2016,Electric
I923495R,Kenworth T680,2020,Diesel
V570515U,Kenworth T680,2024,Diesel
I782638A,Western Star 49X,2022,LNG
Y324271H,Volvo VNL,2023,LNG
D862869V,Navistar 4300,2018,Diesel
B476237N,Hino 268,2022,CNG
W854787S,Freightliner Cascadia,2019,Electric
H268193Y,International LT,2022,Diesel
X922941Y,Peterbilt 579,2016,CNG
L232806W,Mack Anthem,2019,Diesel
R394185V,Volvo VNL,2020,LNG
U541892I,Navistar 4300,2018,Diesel
O831400W,Peterbilt 579,2016,CNG
J630328B,Volvo VNL,2022,LNG
T735490C,Freightliner M2,2018,Diesel
B986571Y,Freightliner M2,2018,Diesel
J896213X,Freightliner Cascadia,2021,Electric
A508628I,Peterbilt 579,2022,CNG
Y564347D,Volvo VNL,2020,LNG
K882309X,Peterbilt 579,2024,CNG
Z872894D,Navistar 4300,2023,Diesel
P363163B,International LT,2019,Diesel
K846017V,Freightliner Cascadia,2017,Electric
S628033Z,Navistar 4300,2016,Diesel
S490847K,Kenworth T680,2018,Diesel
R116343C,International LT,2021,Diesel
P310166X,Freightliner Cascadia,2024,Electric
X662284U,Navistar 4300,2018,Diesel
D414085N,Western Star 49X,2018,LNG
W622951G,Volvo VNL,2019,LNG
C084861Y,Western Star 49X,2017,LNG
S600260A,Mack Anthem,2024,Diesel
Q901749V,Volvo VNL,2017,LNG
T389162R,Freightliner Cascadia,2016,Electric
I106678S,Volvo VNL,2018,LNG
W573216D,Freightliner M2,2022,Diesel
M242389W,Kenworth T680,2019,Diesel
P440711A,Freightliner M2,2022,Diesel
K729850P,Navistar 4300,2022,Diesel
G050667Q,International LT,2019,Diesel
F853331W,Volvo VNL,2023,LNG
Q147955V,Volvo VNL,2020,LNG
W129824W,Western Star 49X,2018,LNG
Q922028J,Kenworth T680,2021,Diesel
R152089W,Navistar 4300,2021,Diesel
H217680K,Navistar 4300,2020,Diesel
U696250W,Freightliner M2,2022,Diesel
E073249O,Mack Anthem,2020,Diesel
X943032C,Volvo VNL,2015,LNG
Y274962P,Western Star 49X,2021,LNG
W838440R,Peterbilt 579,2019,CNG
M376543L,Peterbilt 579,2021,CNG
B942858M,Kenworth T680,2024,Diesel
S308641J,Mack Anthem,2023,Diesel
U632908Z,Hino 268,2022,CNG
Q050487G,Navistar 4300,2021,Diesel
I590518N,Volvo VNL,2015,LNG
D772109E,Peterbilt 579,2016,CNG
K444793G,Peterbilt 579,2016,CNG
B171740M,Freightliner M2,2015,Diesel
H456884Z,Hino 268,2019,CNG
M573744Y,Peterbilt 579,2016,CNG
Z660723Y,Navistar 4300,2016,Diesel
A047412J,Mack Anthem,2018,Diesel
M180368N,Hino 268,2021,CNG
O825289S,Western Star 49X,2021,LNG
H043935Z,Volvo VNL,2018,LNG
C026957X,Mack Anthem,2022,Diesel
D266848N,Peterbilt 579,2017,CNG
E163678D,Peterbilt 579,2020,CNG
V524813P,Mack Anthem,2024,Diesel
O764298W,Mack Anthem,2015,Diesel
P930395M,Volvo VNL,2017,LNG
W526088M,Navistar 4300,2024,Diesel
T298734B,Freightliner Cascadia,2019,Electric
U114997T,Peterbilt 579,2017,CNG
D754737C,International LT,2016,Diesel
D499096I,Kenworth T680,2017,Diesel
K194565E,International LT,2022,Diesel
Q739610M,Kenworth T680,2015,Diesel
I405736U,Freightliner Cascadia,2021,Electric
Z910804H,International LT,2015,Diesel
C756943E,Kenworth T680,2019,Diesel
Z218877E,Volvo VNL,2017,LNG
G699165D,Freightliner M2,2024,Diesel
H236341C,International LT,2022,Diesel
C485786H,Hino 268,2015,CNG
E265728J,Freightliner Cascadia,2018,Electric
N291278P,Freightliner Cascadia,2016,Electric
R885249L,Freightliner M2,2015,Diesel
G196084U,Hino 268,2019,CNG
T585537O,Peterbilt 579,2023,CNG
H043763H,Navistar 4300,2017,Diesel
F559670H,Kenworth T680,2016,Diesel
R694481V,Volvo VNL,2019,LNG
Y400040C,International LT,2022,Diesel
D560231U,Freightliner Cascadia,2020,Electric
K640797L,Navistar 4300,2019,Diesel
Q682288V,Freightliner Cascadia,2019,Electric
L427344T,International LT,2022,Diesel
Z799251P,Freightliner M2,2020,Diesel
R973665C,Mack Anthem,2020,Diesel
E587837D,Navistar 4300,2024,Diesel
D539259Y,Freightliner Cascadia,2016,Electric
M677185T,Mack Anthem,2023,Diesel
S601743B,Freightliner M2,2017,Diesel
C402560S,Western Star 49X,2018,LNG
D131667W,Kenworth T680,2020,Diesel
C270712K,Freightliner Cascadia,2015,Electric
A717635A,Peterbilt 579,2024,CNG
B427299S,Western Star 49X,2020,LNG
U438817A,Peterbilt 579,2016,CNG
J762270V,Peterbilt 579,2021,CNG
K543163E,Volvo VNL,2019,LNG
I584647V,Navistar 4300,2022,Diesel
K604678P,Navistar 4300,2017,Diesel
S036906G,Mack Anthem,2020,Diesel
P550261Q,International LT,2021,Diesel
J097312Y,Hino 268,2021,CNG
U066766S,Mack Anthem,2019,Diesel
O053242P,Peterbilt 579,2015,CNG
O169435S,Hino 268,2023,CNG
Q286178A,International LT,2024,Diesel
V581380C,Volvo VNL,2021,LNG
J321367W,Freightliner Cascadia,2024,Electric
I864555A,International LT,2019,Diesel
V151070W,Volvo VNL,2015,LNG
X570529C,Freightliner Cascadia,2017,Electric
F868744I,Freightliner Cascadia,2017,Electric
B359989P,Navistar 4300,2019,Diesel
Z258692P,Hino 268,2023,CNG
V560062Q,Kenworth T680,2019,Diesel
W515179C,Freightliner Cascadia,2019,Electric
Q519378L,Volvo VNL,2019,LNG
R531273W,Freightliner M2,2022,Diesel
F458019B,Freightliner M2,2018,Diesel
Z213461R,Mack Anthem,2024,Diesel
P615265J,Volvo VNL,2015,LNG
G224708A,Freightliner Cascadia,2019,Electric
U148129C,Freightliner M2,2021,Diesel
X198840J,International LT,2015,Diesel
Q943748W,Freightliner M2,2019,Diesel
W126817M,Kenworth T680,2020,Diesel
G300805I,Mack Anthem,2023,Diesel
I990580H,Navistar 4300,2017,Diesel
V403340C,Volvo VNL,2019,LNG
V810563P,Kenworth T680,2018,Diesel
G869902X,Western Star 49X,2024,LNG
T311669A,Volvo VNL,2019,LNG
C021246B,Peterbilt 579,2015,CNG
K428125H,Freightliner Cascadia,2020,Electric
N362074G,Peterbilt 579,2021,CNG
L849591Y,Western Star 49X,2021,LNG
F092033U,Volvo VNL,2019,LNG
T465657H,Mack Anthem,2024,Diesel
N665781B,Mack Anthem,2017,Diesel
P499504G,Hino 268,2021,CNG
W964164C,International LT,2024,Diesel
Y862953I,Kenworth T680,2018,Diesel
U230724J,Mack Anthem,2017,Diesel
G764126N,Western Star 49X,2023,LNG
I955745Z,Peterbilt 579,2019,CNG
K180583P,Mack Anthem,2016,Diesel
O408354R,Mack Anthem,2024,Diesel
I278859G,Freightliner Cascadia,2023,Electric
Y192069X,Kenworth T680,2021,Diesel
A693259Z,Western Star 49X,2016,LNG
A276223I,Kenworth T680,2023,Diesel
Q312753H,Freightliner Cascadia,2020,Electric
O839955E,Navistar 4300,2020,Diesel
F802280D,Freightliner Cascadia,2020,Electric
S710629X,Western Star 49X,2022,LNG
D026944O,Western Star 49X,2021,LNG
N534143E,Freightliner Cascadia,2015,Electric
B032318Q,Navistar 4300,2015,Diesel
O679066F,Western Star 49X,2016,LNG
F477201Q,Kenworth T680,2024,Diesel
Q040838P,Mack Anthem,2018,Diesel
P782601I,Hino 268,2023,CNG
M777953V,International LT,2017,Diesel
O422539N,Hino 268,2023,CNG
E224257C,Hino 268,2019,CNG
R277457V,Freightliner M2,2021,Diesel
L021885F,Kenworth T680,2021,Diesel
O148460T,Freightliner M2,2022,Diesel
T638396X,Navistar 4300,2022,Diesel
Z878842Y,Freightliner M2,2016,Diesel
P047598X,Freightliner M2,2019,Diesel
Y894770K,Volvo VNL,2020,LNG
I392853P,Hino 268,2016,CNG
A025461T,Mack Anthem,2024,Diesel
H794677Q,Freightliner Cascadia,2020,Electric
T189863A,Freightliner M2,2016,Diesel
X139594O,Hino 268,2023,CNG
V592118V,Freightliner M2,2018,Diesel
N723501R,Navistar 4300,2017,Diesel
I737796Z,Navistar 4300,2022,Diesel
X389654K,Kenworth T680,2018,Diesel
J977917O,Kenworth T680,2019,Diesel
B220081Y,Mack Anthem,2015,Diesel
Q014286A,Freightliner Cascadia,2024,Electric
U906251F,Peterbilt 579,2016,CNG
X595149W,Volvo VNL,2015,LNG
Q096710G,Kenworth T680,2024,Diesel
L004587R,Volvo VNL,2023,LNG
B227496W,Volvo VNL,2018,LNG
W294830H,Peterbilt 579,2016,CNG
E719725L,Freightliner Cascadia,2015,Electric
B343353D,Navistar 4300,2022,Diesel
Q577773U,Western Star 49X,2015,LNG
D265875N,Volvo VNL,2019,LNG
F104979Q,Western Star 49X,2022,LNG
B077128Y,Kenworth T680,2018,Diesel
Q619907Z,Navistar 4300,2019,Diesel
J669747Y,Hino 268,2022,CNG
X171243Y,Hino 268,2016,CNG
W683032W,Western Star 49X,2017,LNG
U369525I,Freightliner M2,2017,Diesel
E767350J,Kenworth T680,2018,Diesel
P107283M,Kenworth T680,2023,Diesel
L476461R,Navistar 4300,2018,Diesel
Q614993Z,Freightliner Cascadia,2022,Electric
V319627Z,Mack Anthem,2019,Diesel
U443909E,Volvo VNL,2024,LNG
D956630P,Freightliner Cascadia,2020,Electric
W636210R,Mack Anthem,2021,Diesel
D164078V,Western Star 49X,2016,LNG
V048113P,Freightliner Cascadia,2021,Electric
X537396K,Western Star 49X,2017,LNG
Z729598C,Freightliner M2,2019,Diesel
H770554L,Freightliner Cascadia,2016,Electric
M907129Y,Hino 268,2021,CNG
L991548E,Freightliner M2,2024,Diesel
X002933S,Mack Anthem,2015,Diesel
M132689E,Hino 268,2022,CNG
B460213W,Freightliner M2,2020,Diesel
E884157F,Kenworth T680,2022,Diesel
S291842O,Freightliner Cascadia,2019,Electric
E519561B,Freightliner M2,2017,Diesel
O558922S,International LT,2023,Diesel
F552858Q,Navistar 4300,2018,Diesel
J063022X,International LT,2023,Diesel
I293352C,Western Star 49X,2023,LNG
W897153Z,Volvo VNL,2017,LNG
H964726Q,Kenworth T680,2020,Diesel
U474645C,Hino 268,2020,CNG
H728310J,Freightliner Cascadia,2017,Electric
E508808U,Mack Anthem,2019,Diesel
H645058P,Western Star 49X,2016,LNG
J058010P,Freightliner Cascadia,2021,Electric
Q867974F,Freightliner Cascadia,2024,Electric
Z619378X,Kenworth T680,2024,Diesel
Y866364W,Navistar 4300,2023,Diesel
C533347R,Mack Anthem,2017,Diesel
J963379J,International LT,2024,Diesel
W628191A,Hino 268,2020,CNG
O237438F,Hino 268,2024,CNG
H345052M,Western Star 49X,2016,LNG
I405047W,Freightliner M2,2015,Diesel
K609796M,Kenworth T680,2018,Diesel
P145977A,Volvo VNL,2016,LNG
H609859M,Freightliner Cascadia,2022,Electric
Y817473B,International LT,2018,Diesel
W539788H,Peterbilt 579,2016,CNG
C748955H,Kenworth T680,2021,Diesel
Q319844Y,Western Star 49X,2016,LNG
U961639L,Freightliner M2,2024,Diesel
R574777P,Mack Anthem,2016,Diesel
R721238G,Freightliner M2,2016,Diesel
F775619J,Freightliner Cascadia,2020,Electric
L987557Q,Hino 268,2015,CNG
O832290X,Kenworth T680,2020,Diesel
S005905W,Volvo VNL,2022,LNG
X173658S,Western Star 49X,2017,LNG
R059193T,Hino 268,2023,CNG
I246271M,Peterbilt 579,2018,CNG
P933065M,Mack Anthem,2022,Diesel
L535975Q,Freightliner Cascadia,2019,Electric
L809628U,Peterbilt 579,2018,CNG
J196087F,Kenworth T680,2021,Diesel
M578827D,Navistar 4300,2018,Diesel
O630977L,Volvo VNL,2024,LNG
K836660F,Freightliner M2,2016,Diesel
Y978550W,Peterbilt 579,2015,CNG
T044507I,Kenworth T680,2015,Diesel
B962901C,International LT,2021,Diesel
J932265C,Hino 268,2023,CNG
B825463V,Volvo VNL,2020,LNG
H941567E,Kenworth T680,2023,Diesel
X775398U,Freightliner Cascadia,2018,Electric
T724581L,Peterbilt 579,2024,CNG
A870884F,Freightliner Cascadia,2023,Electric
M553805V,International LT,2020,Diesel
H659726N,Hino 268,2023,CNG
F950705Z,Kenworth T680,2016,Diesel
L306967E,Freightliner Cascadia,2021,Electric
P281568J,Western Star 49X,2016,LNG
O702785C,Hino 268,2016,CNG
K982149T,Kenworth T680,2023,Diesel
A137173B,Mack Anthem,2016,Diesel
N390858C,Volvo VNL,2022,LNG
X684836W,Peterbilt 579,2015,CNG
I816723Z,Hino 268,2023,CNG
E656067X,International LT,2015,Diesel
S595735G,Peterbilt 579,2019,CNG
A057725S,Mack Anthem,2021,Diesel
J025898E,International LT,2016,Diesel
J085587N,Kenworth T680,2019,Diesel
O578457J,Volvo VNL,2023,LNG
B080241Y,Hino 268,2018,CNG
L415074P,Navistar 4300,2024,Diesel
B166081X,Navistar 4300,2019,Diesel
F115566O,Western Star 49X,2024,LNG
C404750C,Freightliner M2,2023,Diesel
L458408I,Volvo VNL,2024,LNG
R270699C,Freightliner Cascadia,2019,Electric
V649493B,Freightliner M2,2015,Diesel
J580363N,International LT,2021,Diesel
X647224U,Mack Anthem,2018,Diesel
P817083W,International LT,2015,Diesel
O142449T,Kenworth T680,2018,Diesel
U663900C,Navistar 4300,2020,Diesel
R453980S,Freightliner M2,2018,Diesel
G886725T,Freightliner Cascadia,2016,Electric
K096170L,Hino 268,2024,CNG
L873170G,Freightliner M2,2020,Diesel
O166881B,Volvo VNL,2021,LNG
R384691L,Hino 268,2024,CNG
Q815016U,Volvo VNL,2023,LNG
O466257H,Freightliner Cascadia,2017,Electric
C253612Z,Mack Anthem,2015,Diesel
Y987622W,Volvo VNL,2015,LNG
R957947X,Freightliner Cascadia,2023,Electric
Y080989C,Peterbilt 579,2020,CNG
X173315F,Western Star 49X,2022,LNG
F160426Q,Mack Anthem,2018,Diesel
Q471650Q,Freightliner M2,2015,Diesel
W152644R,Freightliner M2,2018,Diesel
U829694X,Navistar 4300,2024,Diesel
J419137C,Western Star 49X,2015,LNG
B498762M,Navistar 4300,2022,Diesel
Z383739U,Freightliner M2,2021,Diesel
T242760Z,Western Star 49X,2017,LNG
W741464R,Western Star 49X,2021,LNG
M026135S,Navistar 4300,2017,Diesel
J255561M,Volvo VNL,2022,LNG
Q262138H,Volvo VNL,2024,LNG
R551095I,International LT,2020,Diesel
Z527505I,Peterbilt 579,2020,CNG
S808482A,Western Star 49X,2015,LNG
M727126N,Peterbilt 579,2018,CNG
H402937G,Volvo VNL,2024,LNG
P326727P,Freightliner M2,2018,Diesel
C262776S,Western Star 49X,2023,LNG
L695881O,Hino 268,2015,CNG
L468774R,Freightliner M2,2018,Diesel
M294499Y,Freightliner M2,2016,Diesel
K136757U,Freightliner M2,2017,Diesel
R668490V,Freightliner Cascadia,2017,Electric
W366783L,Mack Anthem,2015,Diesel
G031613E,International LT,2020,Diesel
C790534N,Hino 268,2018,CNG
P883331U,Mack Anthem,2017,Diesel
R180166I,Hino 268,2021,CNG
D023628H,Freightliner Cascadia,2016,Electric
M938895E,Volvo VNL,2016,LNG
I154397G,Mack Anthem,2023,Diesel
L573415Z,Peterbilt 579,2022,CNG
A106608L,International LT,2018,Diesel
C365046J,Freightliner Cascadia,2019,Electric
O622478M,International LT,2023,Diesel
B225182P,Mack Anthem,2018,Diesel
E135062D,Navistar 4300,2019,Diesel
N840157L,International LT,2023,Diesel
E706298C,Navistar 4300,2016,Diesel
H997526Z,Freightliner M2,2020,Diesel
J650836F,Western Star 49X,2024,LNG
C682140O,Freightliner Cascadia,2019,Electric
R730871W,Volvo VNL,2018,LNG
M390390J,Kenworth T680,2023,Diesel
Y005626C,Peterbilt 579,2019,CNG
G702474U,Navistar 4300,2018,Diesel
K798889E,Volvo VNL,2020,LNG
V327381L,Kenworth T680,2015,Diesel
D293229Q,Peterbilt 579,2022,CNG
L254014Q,Freightliner Cascadia,2016,Electric
P384754P,Freightliner M2,2022,Diesel
M188645R,Freightliner M2,2019,Diesel
L780079V,Mack Anthem,2024,Diesel
H463669P,Western Star 49X,2019,LNG
V755504I,Volvo VNL,2015,LNG
V387500F,Mack Anthem,2024,Diesel
H709903C,Western Star 49X,2022,LNG
T211359G,Freightliner M2,2021,Diesel
Z043331W,Western Star 49X,2022,LNG
H569640D,Freightliner M2,2018,Diesel
R146019M,Peterbilt 579,2021,CNG
L352062Z,Kenworth T680,2021,Diesel
V609316R,Navistar 4300,2015,Diesel
Y266331G,Mack Anthem,2015,Diesel
A408231E,Navistar 4300,2020,Diesel
S717199U,Freightliner M2,2024,Diesel
Q740519O,International LT,2019,Diesel
T950819A,Hino 268,2018,CNG
K056735Z,Freightliner M2,2020,Diesel
E635951Z,Hino 268,2021,CNG
P635241P,Western Star 49X,2015,LNG
G022867D,Volvo VNL,2023,LNG
S665602L,Western Star 49X,2019,LNG
S235777F,Navistar 4300,2022,Diesel
F490571V,Western Star 49X,2024,LNG
F322799S,Hino 268,2023,CNG
D526158H,Mack Anthem,2017,Diesel
P989168G,Western Star 49X,2022,LNG
Q715111K,Peterbilt 579,2017,CNG
X412484T,Freightliner M2,2019,Diesel
E673137V,Mack Anthem,2016,Diesel
Z741906M,Peterbilt 579,2023,CNG
E545085V,Mack Anthem,2020,Diesel
F034011Z,Hino 268,2021,CNG
P170613C,Freightliner M2,2024,Diesel
O112738F,Mack Anthem,2020,Diesel
U817203E,Mack Anthem,2019,Diesel
B965640E,Hino 268,2015,CNG
U915426D,Volvo VNL,2019,LNG
A782411R,Hino 268,2020,CNG
Q342411E,Mack Anthem,2017,Diesel
W546624H,Freightliner Cascadia,2022,Electric
I223064V,Freightliner M2,2022,Diesel
D116846O,Freightliner M2,2022,Diesel
J895159P,Freightliner M2,2020,Diesel
W466521F,Freightliner Cascadia,2023,Electric
G464533B,Peterbilt 579,2021,CNG
X495060U,Freightliner M2,2024,Diesel
O411371P,Volvo VNL,2019,LNG
I463107M,Hino 268,2023,CNG
C078695V,International LT,2016,Diesel
A601883R,Freightliner Cascadia,2017,Electric
F154474P,Mack Anthem,2019,Diesel
P343597B,Mack Anthem,2022,Diesel
X970168X,Kenworth T680,2018,Diesel
D253175Q,Kenworth T680,2017,Diesel
V093701H,Hino 268,2015,CNG
S859689C,Peterbilt 579,2016,CNG
B409529U,Freightliner M2,2017,Diesel
J509579G,Navistar 4300,2022,Diesel
Z184726G,Hino 268,2020,CNG
S063992E,Freightliner M2,2023,Diesel
C611954Z,Peterbilt 579,2015,CNG
G627890I,Mack Anthem,2019,Diesel
J068311Q,Freightliner M2,2020,Diesel
J179592J,Navistar 4300,2015,Diesel
Y233125F,Hino 268,2018,CNG
W725038W,International LT,2016,Diesel
Q616271F,Volvo VNL,2023,LNG
J342773M,Freightliner Cascadia,2016,Electric
Y573742G,Navistar 4300,2016,Diesel
C420942C,Peterbilt 579,2018,CNG
P937415G,International LT,2024,Diesel
V719942D,International LT,2021,Diesel
X592530K,Volvo VNL,2021,LNG
Z558779T,Mack Anthem,2017,Diesel
N936427D,Freightliner M2,2020,Diesel
U957238O,Hino 268,2020,CNG
F161292P,International LT,2021,Diesel
D511133G,International LT,2022,Diesel
L075350Q,Mack Anthem,2024,Diesel
K694841N,Freightliner M2,2017,Diesel
J222320E,International LT,2015,Diesel
T385709N,Mack Anthem,2017,Diesel
W913708J,Hino 268,2015,CNG
H783792O,Volvo VNL,2024,LNG
P168226D,Peterbilt 579,2020,CNG
E809937X,Navistar 4300,2023,Diesel
T193178R,Hino 268,2020,CNG
M988380C,Peterbilt 579,2021,CNG
O473811Y,Hino 268,2015,CNG
Z370494K,Kenworth T680,2021,Diesel
F455407A,Volvo VNL,2016,LNG
H053558I,Peterbilt 579,2024,CNG
B348118Q,Navistar 4300,2024,Diesel
D829385Z,Navistar 4300,2021,Diesel
J284779W,Navistar 4300,2016,Diesel
D258753E,Navistar 4300,2015,Diesel
N564153V,Hino 268,2022,CNG
R070666F,Navistar 4300,2023,Diesel
K063311Y,Freightliner Cascadia,2020,Electric
V161195V,Mack Anthem,2018,Diesel
U309373H,Hino 268,2019,CNG
N340377E,Peterbilt 579,2020,CNG
B703793A,Peterbilt 579,2020,CNG
S189200X,Peterbilt 579,2022,CNG
Z820721L,International LT,2016,Diesel
J474246R,Peterbilt 579,2022,CNG
X732550B,Western Star 49X,2020,LNG
T529905O,Volvo VNL,2020,LNG
C679120K,Navistar 4300,2023,Diesel
B095789O,Volvo VNL,2020,LNG
M550819W,Freightliner Cascadia,2024,Electric
U684456T,Peterbilt 579,2022,CNG
L781744C,Western Star 49X,2018,LNG
S540515Q,Hino 268,2017,CNG
Y567409L,Navistar 4300,2018,Diesel
V016759M,Western Star 49X,2024,LNG
O300134F,Kenworth T680,2024,Diesel
O405806E,Mack Anthem,2019,Diesel
W091446T,International LT,2020,Diesel
S840000C,Volvo VNL,2016,LNG
N046454D,Western Star 49X,2021,LNG
W683487K,Navistar 4300,2017,Diesel
M560489J,Hino 268,2022,CNG
B466257D,Peterbilt 579,2017,CNG
V138079V,Freightliner Cascadia,2015,Electric
Y118121Y,Kenworth T680,2016,Diesel
X525081K,Western Star 49X,2019,LNG
V590431B,Navistar 4300,2022,Diesel
R717416R,Volvo VNL,2017,LNG
S776310O,Freightliner M2,2021,Diesel
E231976D,Freightliner M2,2017,Diesel
G254616Q,Volvo VNL,2017,LNG
X446964W,Navistar 4300,2023,Diesel
Q892441I,Western Star 49X,2021,LNG
C328113O,International LT,2017,Diesel
X244792L,Western Star 49X,2023,LNG
H759144K,Peterbilt 579,2019,CNG
V400946W,Volvo VNL,2020,LNG
P846392V,International LT,2024,Diesel
P488780E,Hino 268,2024,CNG
K376764E,Volvo VNL,2015,LNG
R378053J,Volvo VNL,2020,LNG
H519187B,Freightliner Cascadia,2021,Electric
B289747Z,Freightliner Cascadia,2021,Electric
F766609L,Mack Anthem,2022,Diesel
Q193526I,Kenworth T680,2017,Diesel
B599317L,Hino 268,2023,CNG
U708567K,Volvo VNL,2017,LNG
P105639Q,Freightliner M2,2024,Diesel
E670447E,Hino 268,2020,CNG
D140577I,Freightliner Cascadia,2021,Electric
Q501554N,International LT,2022,Diesel
